ID, Name, Type, Category, Power, Accuracy, PP, Effect
154, Toxic, Poison, Status, 0, 90, 10, Badly poisons opponent.
155, Transform, Normal, Status, 0, 0, 10, User takes on the form and attacks of the opponent.
156, Tri Attack, Normal, Special, 80, 100, 10, May paralyze, burn or freeze opponent.
157, Twineedle, Bug, Physical, 25, 100, 20, Hits twice in one turn. May poison opponent.
158, Vine Whip, Grass, Physical, 45, 100, 25
159, Vise Grip, Normal, Physical, 55, 100, 30
160, Water Gun, Water, Special, 40, 100, 25
161, Waterfall, Water, Physical, 80, 100, 15, May cause flinching.
162, Whirlwind, Normal, Status, 0, 0, 20, In battles, the opponent switches. In the wild, the Pokémon runs.
163, Wing Attack, Flying, Physical, 60, 100, 35
164, Withdraw, Water, Status, 0, 0, 40, Raises user's Defense.
165, Wrap, Normal, Physical, 15, 90, 20, Traps opponent, damaging them for 4-5 turns.
